id,date,time,name,opponent,place,comment,
13,2021.6.19(土),17時〜,練習試合,ハラデーセレクションズ,三好運動公園,,
12,2021.6.13(日),13時〜,日進市リーグ戦,中日ゴンドラズ,日進市総合運動公園,,
11,2021.5.29(土),9時〜,練習試合,GENTLE BEAST,小原トレーニングセンター,,
10,2021.5.16(日),9時〜,日進市春季トーナメント２回戦,中央可鍛野球部,日進市総合運動公園,同点の為抽選にて決着、敗戦。トーナメント敗退。,https://www.nissin-jsbb-aichi.com/%E6%98%A5%E5%AD%A3%E5%A4%A7%E4%BC%9A/
9,2021.5.16(日),12時〜,練習,,三好ヶ丘桜公園,,
8,2021.4.25(日),13時〜,プライドジャパン杯トーナメント１回戦,ナチュラルナイン,三好ヶ丘桜公園,,http://pridejapan.net/system.cgi?code=result&taikaicode=16644
7,2021.4.10(日),10時〜,練習,,東山グラウンド,,
6,2021.3.28(日),9時〜,練習試合,焼き鳥総本舗やきちょうドエリャーズ,三好ヶ丘桜公園,,
5,2021.3.14(日),11時〜,日進市リーグ戦,直球（ストレート）,口論義運動公園B,,https://www.nissin-jsbb-aichi.com/%E3%83%AA%E3%83%BC%E3%82%B0%E6%88%A6/
4,2021.2.28(日),11時20分〜,名古屋サンデーリーグトーナメント２回戦,東海ホークス,小幡緑地西園,,https://nihonbashikikaku.com/
3,2021.2.21(日),14時〜,日進市リーグ戦,アンフィニ,日進市総合運動公園,,https://www.nissin-jsbb-aichi.com/%E3%83%AA%E3%83%BC%E3%82%B0%E6%88%A6/
2,2021.2.7(日),13時〜,練習試合,クサカク,きたよしグラウンド,,
1,2021.1.31(日),9時30分〜,名古屋サンデーリーグトーナメント１回戦,ワンカラーズ,口論義運動公園A,同点の為抽選にて決着、勝利。２回戦進出。,https://nihonbashikikaku.com/
